Date	Gold
2010-01	354.5
2010-02	363
2010-03	371
2010-04	373.2
2010-05	403.75
2010-06	417
2010-07	401.8
2010-08	405.5
2010-09	416.33
2010-10	417.75
2010-11	424
2010-12	461
2011-01	465.75
2011-02	473.75
2011-03	487
2011-04	482
2011-05	511.5
2011-06	529.75
2011-07	564.8
2011-08	683
2011-09	693.4
2011-10	659.3
2011-11	674.25
2011-12	664.8
2012-01	658.75
2012-02	660
2012-03	648.6
2012-04	635.75
2012-05	622.5
2012-06	629
2012-07	622.5
2012-08	632.8
2012-09	672.25
2012-10	668.2
2012-11	663.4
2012-12	649.25
2013-01	641.25
2013-02	627.75
2013-03	624.6
2013-04	592
2013-05	574.2
2013-06	551.75
2013-07	556.25
2013-08	584.8
2013-09	584.5
2013-10	570
2013-11	565.8
2013-12	557
2014-01	594.8
2014-02	610.75
2014-03	631
2014-04	598.5
2014-05	581.8
2014-06	587.75
2014-07	594
2014-08	599.6
2014-09	587.25
2014-10	587.6
2014-11	574
2014-12	589.75
2015-01	622
2015-02	644.25
2015-03	653.5
2015-04	677.5
2015-05	672.8
2015-06	676.5
2015-07	656.7
2015-08	687
2015-09	719
2015-10	719.4
2015-11	667.5
2015-12	676.5
2016-01	704.25
2016-02	755.25
2016-03	766.5
2016-04	752
2016-05	790.75
2016-06	794.25
2016-07	836.4
2016-08	847
2016-09	842.2
2016-10	841.5
2016-11	877.25
2016-12	875.4
2017-01	957.25
2017-02	975.25
2017-03	974.8
2017-04	998.25
2017-05	961.75
2017-06	958.6
2017-07	952.75
2017-08	968.75
2017-09	979.5
2017-10	1008
2017-11	1066.5
2017-12	1092
2018-01	1114.75
2018-02	1119.25
2018-03	1141.2
2018-04	1197.25
2018-05	1280.75
2018-06	1304.25
2018-07	1306.25
2018-08	1600.25
2018-09	1673.75
2018-10	1600
2018-11	1478.4
2018-12	1502.25
2019-01	1561.5
2019-02	1559.25
2019-03	1604.8
2019-04	1654.5
2019-05	1730.25
2019-06	1786.66
2019-07	1781.25
2019-08	1839.25
2019-09	1899
2019-10	1918
2019-11	1880
2019-12	1916.25
2020-01	2037.8
2020-02	2148
2020-03	2279.33
2020-04	2568.4
2020-05	2647
2020-06	2624
2020-07	2820.6
2020-08	3263.25
2020-09	3228
2020-10	3358.8
2020-11	3312
2020-12	3109
